issue,title,validator comment,status,size,Best
validation-94,QA Report,,Satisfactory,1,
validation-17,QA Report,,Unsatisfactory,1,
validation-114,Gas Optimizations,no gas pool,Unsatisfactory,2,
validation-594,Gas Optimizations,no gas pool,Unsatisfactory,3,
validation-518,QA Report,,Unsatisfactory,4,
validation-128,QA Report,some are dups with HM submissions,Satisfactory,6,
validation-701,QA Report,,Unsatisfactory,8,
validation-390,QA Report,,Unsatisfactory,10,
validation-210,QA Report,,Unsatisfactory,15,
validation-395,QA Report,,Unsatisfactory,17,
validation-370,QA Report,,Satisfactory,18,
validation-637,QA Report,,Unsatisfactory,20,
validation-326,QA Report,,Unsatisfactory,22,
validation-5,QA Report,,Unsatisfactory,29,
validation-339,QA Report,"abstract contract, invalid",Unsatisfactory,30,
validation-401,QA Report,,Satisfactory,32,
validation-316,Gas Optimizations,no gas pool,Unsatisfactory,32,
validation-442,QA Report,,Satisfactory,33,
validation-180,QA Report,,Satisfactory,33,
validation-656,QA Report,,Satisfactory,34,
validation-319,Gas Optimizations,no gas pool,Unsatisfactory,34,
validation-720,QA Report,,Satisfactory,35,
validation-194,QA Report,,Unsatisfactory,35,
validation-502,QA Report,dup of HM submission,Satisfactory,38,
validation-353,QA Report,dup of HM submission,Satisfactory,46,
validation-699,QA Report,seems AI generated,Satisfactory,52,
validation-466,Gas Optimizations,no gas pool,Unsatisfactory,66,
validation-253,QA Report,dup of HM submission,Satisfactory,76,
validation-672,QA Report,,Satisfactory,93,
validation-313,QA Report,,Satisfactory,96,
validation-580,QA Report,,Satisfactory,97,
validation-563,QA Report,,Satisfactory,98,
validation-709,QA Report,,Satisfactory,103,
validation-470,QA Report,,Satisfactory,106,
validation-22,QA Report,,Satisfactory,118,
validation-483,QA Report,,Satisfactory,124,
validation-281,QA Report,,Satisfactory,129,
validation-381,QA Report,,Satisfactory,143,
validation-578,QA Report,,Satisfactory,148,
validation-23,Gas Optimizations,no gas pool,Unsatisfactory,149,
findings-96,QA Report,,Satisfactory,163,
findings-69,QA Report,,Satisfactory,199,
findings-106,QA Report,,Satisfactory,203,
findings-12,QA Report,seems AI generated,Satisfactory,244,
validation-705,QA Report,,Satisfactory,282,
validation-540,QA Report,most of them are dup of HM submissions,Satisfactory,292,
validation-75,QA Report,,Satisfactory,369,
findings-114,QA Report,,Satisfactory,399,
findings-55,QA Report,,Satisfactory,424,
validation-282,QA Report,,Satisfactory,465,
findings-127,QA Report,,Satisfactory,466,
findings-130,QA Report,,Satisfactory,477,
validation-365,QA Report,AI generated,Satisfactory,514,
validation-693,QA Report,,Satisfactory,612,
findings-92,QA Report,,Satisfactory,681,
validation-616,QA Report,AI generated,Satisfactory,1079,
validation-692,QA Report,AI generated,Satisfactory,1354,
validation-490,QA Report,,Satisfactory,1494,
validation-167,QA Report,,Unsatisfactory,6,
validation-509,QA Report,,Satisfactory,13,
validation-217,QA Report,,Unsatisfactory,38,
validation-45,QA Report,,Satisfactory,47,
validation-218,Gas Optimizations,no gas pool,Unsatisfactory,59,
validation-174,QA Report,,Satisfactory,157,
validation-168,QA Report,,Satisfactory,314,
validation-251,QA Report,QA-01 is invalid,Satisfactory,452,